weekday,day,hour,timediff_s_sum,timediff_s_count,timediff_s_mean,timediff_s_median,Service_count
2,18,0,79482,1368,58.10087719298246,49.0,920
2,18,1,1096580,19214,57.071926720099924,48.0,5346
2,18,2,492544,7989,61.65277256227313,52.0,5904
2,18,3,1225609,21363,57.37064082759912,48.0,5780
2,18,4,509106,8319,61.19798052650559,51.0,6354
2,18,5,1149244,19964,57.56581847325185,48.0,5878
2,18,6,510710,8157,62.61002819664092,54.0,5966
2,18,7,983231,17118,57.438427386376915,48.0,6011
2,18,8,536345,8209,65.33621634791083,55.0,5924
2,18,9,1102306,19102,57.70631347502879,49.0,5691
2,18,10,503162,7918,63.5466026774438,54.0,5619
2,18,11,1209502,21005,57.581623422994525,49.0,5935
2,18,12,213349,3230,66.05232198142414,57.0,2320
3,22,11,65577,1143,57.37270341207349,48.0,1071
3,22,12,464360,8050,57.68447204968944,49.0,6120
3,22,13,343999,5882,58.48333900034002,49.0,5493
